,obstime,Past 60-Minutes Rainfall in mm,qcscore
3,2023-01-01T00:00:00,0.0,G
22,2023-01-01T01:00:00,0.0,G
41,2023-01-01T02:00:00,0.0,G
60,2023-01-01T03:00:00,0.0,G
79,2023-01-01T04:00:00,0.0,G
98,2023-01-01T05:00:00,0.0,G
117,2023-01-01T06:00:00,0.0,G
136,2023-01-01T07:00:00,0.0,G
155,2023-01-01T08:00:00,0.0,G
174,2023-01-01T09:00:00,0.0,G
193,2023-01-01T10:00:00,0.0,G
212,2023-01-01T11:00:00,0.0,G
231,2023-01-01T12:00:00,0.0,G
250,2023-01-01T13:00:00,0.0,G
269,2023-01-01T14:00:00,0.0,G
288,2023-01-01T15:00:00,0.0,G
307,2023-01-01T16:00:00,0.0,G
326,2023-01-01T17:00:00,0.0,G
345,2023-01-01T18:00:00,0.0,G
363,2023-01-01T19:00:00,0.0,G
381,2023-01-01T20:00:00,0.0,G
399,2023-01-01T21:00:00,0.0,G
417,2023-01-01T22:00:00,0.0,G
435,2023-01-01T23:00:00,0.0,G
453,2023-01-02T00:00:00,0.0,G
471,2023-01-02T01:00:00,0.0,G
489,2023-01-02T02:00:00,0.0,G
507,2023-01-02T03:00:00,0.0,G
525,2023-01-02T04:00:00,0.0,G
543,2023-01-02T05:00:00,0.0,G
561,2023-01-02T06:00:00,0.0,G
579,2023-01-02T07:00:00,0.0,G
597,2023-01-02T08:00:00,0.0,G
615,2023-01-02T09:00:00,0.0,G
633,2023-01-02T10:00:00,0.0,G
651,2023-01-02T11:00:00,0.0,G
669,2023-01-02T12:00:00,0.0,G
687,2023-01-02T13:00:00,0.0,G
706,2023-01-02T14:00:00,0.0,G
725,2023-01-02T15:00:00,0.0,G
744,2023-01-02T16:00:00,0.0,G
763,2023-01-02T17:00:00,0.0,G
782,2023-01-02T18:00:00,0.0,G
801,2023-01-02T19:00:00,0.0,G
820,2023-01-02T20:00:00,0.0,G
839,2023-01-02T21:00:00,0.0,G
858,2023-01-02T22:00:00,0.0,G
875,2023-01-02T23:00:00,0.0,G
892,2023-01-03T00:00:00,0.0,G
909,2023-01-03T01:00:00,0.0,G
926,2023-01-03T02:00:00,0.0,G
943,2023-01-03T03:00:00,0.0,G
960,2023-01-03T04:00:00,0.0,G
977,2023-01-03T05:00:00,0.0,G
994,2023-01-03T06:00:00,0.0,G
1011,2023-01-03T07:00:00,0.0,G
1028,2023-01-03T08:00:00,0.0,G
1045,2023-01-03T09:00:00,0.0,G
1062,2023-01-03T10:00:00,0.0,G
1079,2023-01-03T11:00:00,0.0,G
1096,2023-01-03T12:00:00,0.0,G
1113,2023-01-03T13:00:00,0.0,G
1130,2023-01-03T14:00:00,0.0,G
1148,2023-01-03T15:00:00,0.0,G
1166,2023-01-03T16:00:00,0.0,G
1184,2023-01-03T17:00:00,0.0,G
1202,2023-01-03T18:00:00,0.0,G
1220,2023-01-03T19:00:00,0.0,G
1238,2023-01-03T20:00:00,0.0,G
1256,2023-01-03T21:00:00,0.0,G
1274,2023-01-03T22:00:00,0.0,G
1292,2023-01-03T23:00:00,0.0,G
1310,2023-01-04T00:00:00,0.0,G
1328,2023-01-04T01:00:00,0.0,G
1346,2023-01-04T02:00:00,0.0,G
1364,2023-01-04T03:00:00,0.0,G
1382,2023-01-04T04:00:00,0.0,G
1400,2023-01-04T05:00:00,0.0,G
1418,2023-01-04T06:00:00,0.0,G
1436,2023-01-04T07:00:00,0.0,G
1454,2023-01-04T08:00:00,0.0,G
1472,2023-01-04T09:00:00,0.0,G
1490,2023-01-04T10:00:00,0.0,G
1509,2023-01-04T11:00:00,0.0,G
1529,2023-01-04T12:00:00,0.0,G
1549,2023-01-04T13:00:00,0.0,G
1570,2023-01-04T14:00:00,0.0,G
1591,2023-01-04T15:00:00,0.0,G
1612,2023-01-04T16:00:00,0.0,G
