time (s),heat_flux_w(W/m^2),energy_flow_w(kJ/m^2),heat_flux_s(W/m^2),energy_flow_s(kJ/m^2)
0,-3.559094694,-1.28127409,10.2255992,3.681215711
360,-3.564551274,-1.283238459,10.21269023,3.676568482
720,-3.570282113,-1.285301561,10.19943848,3.671797852
1080,-3.576277205,-1.287459794,10.1858625,3.666910499
1440,-3.582526887,-1.289709679,10.17198031,3.661912913
1800,-3.589021864,-1.292047871,10.15780953,3.656811432
2160,-3.595753088,-1.294471112,10.14336729,3.651612226
2520,-3.602711782,-1.296976241,10.12867035,3.646321328
2880,-3.609889334,-1.29956016,10.11373506,3.640944621
3240,-3.617277314,-1.302219833,10.09857741,3.635487868
3600,-3.62486738,-1.304952257,10.08321306,3.629956703
3960,-3.631965718,-1.307507659,10.06805461,3.624499661
4320,-3.639625294,-1.310265106,10.05251265,3.618904553
4680,-3.645887095,-1.312519354,10.03772442,3.61358079
5040,-3.65322891,-1.315162408,10.0222871,3.608023357
5400,-3.658423317,-1.317032394,10.00806062,3.602901825
5760,-3.665170629,-1.319461426,9.992942766,3.597459396
6120,-3.669305051,-1.320949818,9.979325292,3.592557105
6480,-3.675329251,-1.32311853,9.964645297,3.587272307
6840,-3.678553179,-1.324279145,9.951588974,3.582572031
7200,-3.68385574,-1.326188066,9.937375364,3.577455131
7560,-3.686389575,-1.327100247,9.924775549,3.572919198
7920,-3.691065857,-1.328783709,9.91098675,3.56795523
8280,-3.693154248,-1.329535529,9.898708803,3.563535169
8640,-3.697355963,-1.331048147,9.885255618,3.558692023
9000,-3.699237858,-1.331725629,9.873153656,3.554335316
9360,-3.703140268,-1.333130496,9.859920129,3.549571247
9720,-3.7050292,-1.333810512,9.84785074,3.545226266
10080,-3.708804446,-1.3351696,9.834712048,3.540496337
10440,-3.710874884,-1.335914958,9.822544863,3.536116151
10800,-3.714671034,-1.337281572,9.809382109,3.531377559
11160,-3.717048367,-1.338137412,9.797008357,3.526923009
11520,-3.720973246,-1.339550368,9.78372059,3.522139412
11880,-3.723726436,-1.340541517,9.771059906,3.517581566
12240,-3.72783737,-1.342021453,9.757572065,3.512725943
12600,-3.730978002,-1.343152081,9.744574274,3.508046739
12960,-3.73528103,-1.344701171,9.730837941,3.503101659
13320,-3.738770024,-1.345957209,9.717478638,3.49829231
13680,-3.743227176,-1.347561783,9.703466519,3.493247947
14040,-3.746987038,-1.348915334,9.689738104,3.488305717
14400,-3.751528786,-1.350550363,9.675434485,3.483156415
14760,-3.755458861,-1.35196519,9.661334688,3.478080488
15120,-3.759999157,-1.353599697,9.646723864,3.472820591
15480,-3.763991858,-1.355037069,9.632243476,3.467607651
15840,-3.768443359,-1.356639609,9.617298919,3.462227611
16200,-3.772398335,-1.358063401,9.602413771,3.456868958
16560,-3.776684357,-1.359606368,9.587094161,3.451353898
16920,-3.780518505,-1.360986662,9.571765009,3.445835403
17280,-3.784581022,-1.362449168,9.556017721,3.44016638
17640,-3.788234695,-1.36376449,9.540196722,3.43447082
18000,-3.79203913,-1.365134087,9.523966589,3.428627972
18360,-3.795479534,-1.366372632,9.507607865,3.422738831
18720,-3.799017303,-1.367646229,9.490848854,3.416705587
19080,-3.802240032,-1.368806411,9.473921013,3.410611565
19440,-3.805529344,-1.369990564,9.456608531,3.404379071
19800,-3.808557511,-1.371080704,9.439105513,3.398077985
20160,-3.811640851,-1.372190707,9.421244435,3.391647996
20520,-3.814520547,-1.373227397,9.403190688,3.385148648
20880,-3.817458722,-1.37428514,9.384817557,3.378534321
21240,-3.820251567,-1.375290564,9.366267855,3.371856428
21600,-3.823115478,-1.376321572,9.347448539,3.365081474
21960,-3.825889553,-1.377320239,9.328484104,3.358254278
22320,-3.828750895,-1.378350322,9.309308613,3.351351101
22680,-3.831571108,-1.379365599,9.290031157,3.344411217
23040,-3.834492986,-1.380417475,9.270606924,3.337418493
23400,-3.837412245,-1.381468408,9.251131151,3.330407214
23760,-3.840441838,-1.382559062,9.23157428,3.323366741
24120,-3.843495198,-1.383658271,9.212017998,3.316326479
24480,-3.846659603,-1.384797457,9.192442293,3.309279225
24840,-3.849861466,-1.385950128,9.172914727,3.302249302
25200,-3.853166226,-1.387139841,9.15341944,3.295230998
25560,-3.856509811,-1.388343532,9.134008773,3.288243158
25920,-3.859939268,-1.389578136,9.114666088,3.281279792
26280,-3.863397511,-1.390823104,9.095427133,3.274353768
26640,-3.866916254,-1.392089852,9.076270224,3.267457281
27000,-3.870443811,-1.393359772,9.057214856,3.260597348
27360,-3.873999713,-1.394639897,9.038234143,3.253764292
27720,-3.877537106,-1.395913358,9.019335391,3.246960741
28080,-3.881066602,-1.397183977,9.00049043,3.240176555
28440,-3.884546401,-1.398436704,8.981701469,3.233412529
28800,-3.887981429,-1.399673314,8.962945702,3.226660453
29160,-3.891335647,-1.400880833,8.944229041,3.219922455
29520,-3.894611365,-1.402060091,8.92554208,3.213195149
29880,-3.897779279,-1.403200541,8.906903841,3.206485383
30240,-3.900841895,-1.404303082,8.888326764,3.199797635
30600,-3.903777511,-1.405359904,8.869851355,3.193146488
30960,-3.90659063,-1.406372627,8.851517148,3.186546173
31320,-3.909267148,-1.407336173,8.833390205,3.180020474
31680,-3.911814229,-1.408253122,8.815538357,3.173593809
32040,-3.914224542,-1.409120835,8.798053282,3.167299181
32400,-3.916507719,-1.409942779,8.781029173,3.161170502
32760,-3.918661859,-1.410718269,8.764580653,3.155249035
33120,-3.920698313,-1.411451393,8.748824399,3.149576784
33480,-3.922619015,-1.412142845,8.733893768,3.144201756
33840,-3.924435996,-1.412796959,8.719923044,3.139172296
34200,-3.926153384,-1.413415218,8.707059284,3.134541342
34560,-3.927782825,-1.414001817,8.695448131,3.130361327
34920,-3.929329198,-1.414558511,8.685243464,3.126687647
35280,-3.93080285,-1.415089026,8.676594464,3.123574007
35640,-3.932208235,-1.415594965,8.669653555,3.12107528
36000,-3.933553645,-1.416079312,8.664564693,3.119243289
36360,-3.934842174,-1.416543183,8.66146996,3.118129186
36720,-3.936079453,-1.416988603,8.660499103,3.117779677
37080,-3.937266467,-1.417415928,8.661775029,3.11823901
37440,-3.938405703,-1.417826053,8.665404591,3.119545653
37800,-3.939495443,-1.418218359,8.671483203,3.121733953
38160,-3.940534731,-1.418592503,8.680087527,3.12483151
38520,-3.94151888,-1.418946797,8.691279721,3.1288607
