,obstime,Past 60-Minutes Rainfall in mm,qcscore
15,2024-01-01T00:00:00,0.0,G
39,2024-01-01T01:00:00,0.0,G
63,2024-01-01T02:00:00,0.0,G
87,2024-01-01T03:00:00,0.0,G
111,2024-01-01T04:00:00,0.0,G
135,2024-01-01T05:00:00,0.0,G
159,2024-01-01T06:00:00,0.0,G
183,2024-01-01T07:00:00,0.0,G
207,2024-01-01T08:00:00,0.0,G
231,2024-01-01T09:00:00,0.0,G
255,2024-01-01T10:00:00,0.0,G
279,2024-01-01T11:00:00,0.0,G
303,2024-01-01T12:00:00,0.0,G
327,2024-01-01T13:00:00,0.0,G
351,2024-01-01T14:00:00,0.0,G
375,2024-01-01T15:00:00,0.0,G
399,2024-01-01T16:00:00,0.0,G
422,2024-01-01T17:00:00,0.0,G
445,2024-01-01T18:00:00,0.0,G
468,2024-01-01T19:00:00,0.0,G
491,2024-01-01T20:00:00,0.0,G
514,2024-01-01T21:00:00,0.0,G
536,2024-01-01T22:00:00,0.0,G
558,2024-01-01T23:00:00,0.0,G
580,2024-01-02T00:00:00,0.0,G
602,2024-01-02T01:00:00,0.0,G
624,2024-01-02T02:00:00,0.0,G
646,2024-01-02T03:00:00,0.0,G
668,2024-01-02T04:00:00,0.0,G
690,2024-01-02T05:00:00,0.0,G
712,2024-01-02T06:00:00,0.0,G
734,2024-01-02T07:00:00,0.0,G
757,2024-01-02T08:00:00,0.0,G
781,2024-01-02T09:00:00,0.0,G
805,2024-01-02T10:00:00,0.0,G
828,2024-01-02T11:00:00,0.0,G
851,2024-01-02T12:00:00,0.0,G
873,2024-01-02T13:00:00,0.0,G
895,2024-01-02T14:00:00,0.0,G
918,2024-01-02T15:00:00,0.0,G
941,2024-01-02T16:00:00,0.0,G
964,2024-01-02T17:00:00,0.0,G
987,2024-01-02T18:00:00,0.0,G
1010,2024-01-02T19:00:00,0.0,G
1033,2024-01-02T20:00:00,0.0,G
1056,2024-01-02T21:00:00,0.0,G
1079,2024-01-02T22:00:00,0.0,G
1102,2024-01-02T23:00:00,0.0,G
1125,2024-01-03T00:00:00,0.0,G
1148,2024-01-03T01:00:00,0.0,G
1171,2024-01-03T02:00:00,0.0,G
1194,2024-01-03T03:00:00,0.0,G
1217,2024-01-03T04:00:00,0.0,G
1240,2024-01-03T05:00:00,0.0,G
1263,2024-01-03T06:00:00,0.0,G
1286,2024-01-03T07:00:00,0.0,G
1309,2024-01-03T08:00:00,0.0,G
1332,2024-01-03T09:00:00,0.0,G
1356,2024-01-03T10:00:00,0.0,G
1380,2024-01-03T11:00:00,0.0,G
1404,2024-01-03T12:00:00,0.0,G
1428,2024-01-03T13:00:00,0.0,G
1452,2024-01-03T14:00:00,0.0,G
1476,2024-01-03T15:00:00,0.0,G
1500,2024-01-03T16:00:00,0.0,G
1524,2024-01-03T17:00:00,0.0,G
1548,2024-01-03T18:00:00,0.0,G
1572,2024-01-03T19:00:00,0.0,G
1596,2024-01-03T20:00:00,0.0,G
1620,2024-01-03T21:00:00,0.0,G
1644,2024-01-03T22:00:00,0.0,G
1668,2024-01-03T23:00:00,0.0,G
1692,2024-01-04T00:00:00,0.0,G
1716,2024-01-04T01:00:00,0.0,G
1740,2024-01-04T02:00:00,0.0,G
1764,2024-01-04T03:00:00,0.0,G
1788,2024-01-04T04:00:00,0.0,G
1812,2024-01-04T05:00:00,0.0,G
1836,2024-01-04T06:00:00,0.0,G
1861,2024-01-04T07:00:00,0.0,G
1886,2024-01-04T08:00:00,0.0,G
1911,2024-01-04T09:00:00,0.0,G
1936,2024-01-04T10:00:00,0.0,G
1960,2024-01-04T11:00:00,0.0,G
1984,2024-01-04T12:00:00,0.0,G
2008,2024-01-04T13:00:00,0.0,G
2031,2024-01-04T14:00:00,0.0,G
2055,2024-01-04T15:00:00,0.0,G
2079,2024-01-04T16:00:00,0.0,G
2103,2024-01-04T17:00:00,0.0,G
2127,2024-01-04T18:00:00,0.0,G
2151,2024-01-04T19:00:00,0.0,G
2175,2024-01-04T20:00:00,0.0,G
2199,2024-01-04T21:00:00,0.0,G
2223,2024-01-04T22:00:00,0.0,G
2248,2024-01-04T23:00:00,0.0,G
2273,2024-01-05T00:00:00,0.0,G
2297,2024-01-05T01:00:00,0.0,G
2321,2024-01-05T02:00:00,0.0,G
2345,2024-01-05T03:00:00,0.0,G
2369,2024-01-05T04:00:00,0.0,G
2393,2024-01-05T05:00:00,0.0,G
2417,2024-01-05T06:00:00,0.0,G
2441,2024-01-05T07:00:00,0.0,G
2465,2024-01-05T08:00:00,0.0,G
2489,2024-01-05T09:00:00,0.0,G
2513,2024-01-05T10:00:00,0.0,G
2538,2024-01-05T11:00:00,0.0,G
2563,2024-01-05T12:00:00,0.0,G
2588,2024-01-05T13:00:00,0.0,G
2613,2024-01-05T14:00:00,0.0,G
2638,2024-01-05T15:00:00,0.0,G
2663,2024-01-05T16:00:00,0.0,G
2688,2024-01-05T17:00:00,0.0,G
2713,2024-01-05T18:00:00,0.0,G
2738,2024-01-05T19:00:00,0.0,G
2763,2024-01-05T20:00:00,0.0,G
2788,2024-01-05T21:00:00,0.0,G
2813,2024-01-05T22:00:00,0.0,G
2838,2024-01-05T23:00:00,0.0,M
2887,2024-01-06T01:00:00,0.0,M
2912,2024-01-06T02:00:00,0.0,G
2937,2024-01-06T03:00:00,0.0,G
2961,2024-01-06T04:00:00,0.0,G
2985,2024-01-06T05:00:00,0.0,G
3009,2024-01-06T06:00:00,0.0,G
3033,2024-01-06T07:00:00,0.0,G
3058,2024-01-06T08:00:00,0.0,G
3083,2024-01-06T09:00:00,0.0,G
3108,2024-01-06T10:00:00,0.0,G
3133,2024-01-06T11:00:00,0.0,G
3158,2024-01-06T12:00:00,0.0,G
3183,2024-01-06T13:00:00,0.0,G
3208,2024-01-06T14:00:00,0.0,G
3233,2024-01-06T15:00:00,0.0,G
3257,2024-01-06T16:00:00,0.0,G
3282,2024-01-06T17:00:00,0.0,G
3307,2024-01-06T18:00:00,0.0,G
3332,2024-01-06T19:00:00,0.0,G
3357,2024-01-06T20:00:00,0.0,G
3382,2024-01-06T21:00:00,0.0,G
3407,2024-01-06T22:00:00,0.0,G
3432,2024-01-06T23:00:00,0.0,G
3457,2024-01-07T00:00:00,0.0,G
3482,2024-01-07T01:00:00,0.0,G
3507,2024-01-07T02:00:00,0.0,G
3532,2024-01-07T03:00:00,0.0,G
3557,2024-01-07T04:00:00,0.0,G
3582,2024-01-07T05:00:00,0.0,G
3606,2024-01-07T06:00:00,0.0,G
3630,2024-01-07T07:00:00,0.0,G
3654,2024-01-07T08:00:00,0.0,G
3678,2024-01-07T09:00:00,0.0,G
3702,2024-01-07T10:00:00,0.0,G
3726,2024-01-07T11:00:00,0.0,G
3750,2024-01-07T12:00:00,0.0,G
3774,2024-01-07T13:00:00,0.0,G
3798,2024-01-07T14:00:00,0.0,G
3822,2024-01-07T15:00:00,0.0,G
3846,2024-01-07T16:00:00,0.0,G
3870,2024-01-07T17:00:00,0.0,G
3894,2024-01-07T18:00:00,0.0,G
3918,2024-01-07T19:00:00,0.0,G
3942,2024-01-07T20:00:00,0.0,G
3966,2024-01-07T21:00:00,0.0,G
3990,2024-01-07T22:00:00,0.0,G
4014,2024-01-07T23:00:00,0.0,G
4038,2024-01-08T00:00:00,0.0,G
4062,2024-01-08T01:00:00,0.0,G
4086,2024-01-08T02:00:00,0.0,G
4110,2024-01-08T03:00:00,0.0,G
4134,2024-01-08T04:00:00,0.0,G
4158,2024-01-08T05:00:00,0.0,G
4182,2024-01-08T06:00:00,0.0,G
4206,2024-01-08T07:00:00,0.0,G
4230,2024-01-08T08:00:00,0.0,G
4254,2024-01-08T09:00:00,0.0,G
4278,2024-01-08T10:00:00,0.0,G
