,date,time,Air Temperature in degree C,qcscore,Maximum Air Temperature in degree C,qcscore_maxt,Minimum Air Temperature in degree C,qcscore_mint,Relative Humidity in %,qcscore_rh,Wind Speed in km/hr,qcscore_ws,Wind Direction,qcscore_wd,Past 60-Minutes Rainfall in mm,qcscore_60rf,Solar Radiation in W/m^2,qcscore_sol
0,2023/01/01,00:00:00,16.0,G,19.8,G,12.3,G,76.5,G,2.9,G,9.8,G,0.0,G,0.0,G
1,2023/01/01,01:00:00,16.0,G,16.1,G,16.0,G,76.8,G,3.1,G,12.2,G,0.0,G,0.0,G
2,2023/01/01,02:00:00,15.7,G,16.1,G,15.7,G,76.6,G,3.8,G,11.1,G,0.0,G,0.0,G
3,2023/01/01,03:00:00,15.2,G,16.1,G,15.2,G,78.5,G,3.3,G,8.5,G,0.0,G,0.0,G
4,2023/01/01,04:00:00,15.0,G,16.1,G,15.0,G,79.5,G,3.7,G,12.6,G,0.0,G,0.0,G
5,2023/01/01,05:00:00,14.8,G,16.1,G,14.8,G,79.4,G,3.7,G,12.1,G,0.0,G,0.0,G
6,2023/01/01,06:00:00,14.6,G,16.1,G,14.5,G,80.0,G,3.3,G,10.1,G,0.0,G,0.0,G
7,2023/01/01,07:00:00,14.5,G,16.1,G,14.4,G,80.0,G,2.7,G,9.7,G,0.0,G,0.0,G
8,2023/01/01,08:00:00,14.5,G,16.1,G,14.3,G,79.9,G,2.7,G,13.3,G,0.0,G,20.5,G
9,2023/01/01,09:00:00,15.1,G,16.1,G,14.3,G,77.8,G,2.3,G,9.6,G,0.0,G,104.7,G
10,2023/01/01,10:00:00,16.2,G,16.3,G,14.3,G,75.0,G,1.8,G,7.5,G,0.0,G,220.2,G
11,2023/01/01,11:00:00,17.1,G,17.1,G,14.3,G,73.2,G,3.2,G,9.1,G,0.0,G,315.7,G
12,2023/01/01,12:00:00,18.1,G,18.2,G,14.3,G,71.4,G,1.8,G,6.0,G,0.0,G,280.9,G
13,2023/01/01,13:00:00,18.5,G,18.5,G,14.3,G,70.8,G,1.6,G,8.4,G,0.0,G,252.6,G
14,2023/01/01,14:00:00,19.2,G,19.3,G,14.3,G,69.8,G,0.8,G,14.2,G,0.0,G,330.7,G
15,2023/01/01,15:00:00,19.6,G,19.6,G,14.3,G,70.9,G,0.5,G,9.4,M,0.0,G,239.9,G
16,2023/01/01,16:00:00,19.4,G,19.8,G,14.3,G,69.6,G,1.5,G,8.6,M,0.0,G,162.1,G
