,obstime,Relative Humidity in %,qcscore
16,2024-01-01T00:00:00,74.5,G
42,2024-01-01T01:00:00,76.6,G
68,2024-01-01T02:00:00,80.8,G
94,2024-01-01T03:00:00,81.5,G
120,2024-01-01T04:00:00,78.0,G
146,2024-01-01T05:00:00,77.4,G
172,2024-01-01T06:00:00,77.3,G
198,2024-01-01T07:00:00,77.2,G
224,2024-01-01T08:00:00,77.6,G
250,2024-01-01T09:00:00,80.6,G
276,2024-01-01T10:00:00,80.3,G
302,2024-01-01T11:00:00,78.5,G
328,2024-01-01T12:00:00,75.0,G
354,2024-01-01T13:00:00,73.9,G
380,2024-01-01T14:00:00,72.8,G
406,2024-01-01T15:00:00,73.0,G
432,2024-01-01T16:00:00,74.6,G
457,2024-01-01T17:00:00,76.6,G
482,2024-01-01T18:00:00,80.4,G
507,2024-01-01T19:00:00,84.0,G
532,2024-01-01T20:00:00,85.0,G
557,2024-01-01T21:00:00,85.4,G
581,2024-01-01T22:00:00,85.0,G
605,2024-01-01T23:00:00,85.0,G
629,2024-01-02T00:00:00,84.8,G
653,2024-01-02T01:00:00,84.8,G
677,2024-01-02T02:00:00,84.0,G
701,2024-01-02T03:00:00,84.2,G
725,2024-01-02T04:00:00,85.0,G
749,2024-01-02T05:00:00,85.2,G
773,2024-01-02T06:00:00,85.0,G
797,2024-01-02T07:00:00,84.2,G
822,2024-01-02T08:00:00,83.4,G
848,2024-01-02T09:00:00,82.2,G
874,2024-01-02T10:00:00,81.7,G
899,2024-01-02T11:00:00,80.2,G
924,2024-01-02T12:00:00,79.6,G
948,2024-01-02T13:00:00,78.8,G
973,2024-01-02T14:00:00,78.0,G
998,2024-01-02T15:00:00,76.5,G
1023,2024-01-02T16:00:00,74.8,G
1048,2024-01-02T17:00:00,75.5,G
1073,2024-01-02T18:00:00,78.9,G
1098,2024-01-02T19:00:00,80.1,G
1123,2024-01-02T20:00:00,81.2,G
1148,2024-01-02T21:00:00,83.1,G
1173,2024-01-02T22:00:00,85.3,G
1198,2024-01-02T23:00:00,87.7,G
1223,2024-01-03T00:00:00,87.9,G
1248,2024-01-03T01:00:00,88.1,G
1273,2024-01-03T02:00:00,85.6,G
1298,2024-01-03T03:00:00,85.2,G
1323,2024-01-03T04:00:00,85.5,G
1348,2024-01-03T05:00:00,85.5,G
1373,2024-01-03T06:00:00,82.0,G
1398,2024-01-03T07:00:00,82.5,G
1423,2024-01-03T08:00:00,83.9,G
1448,2024-01-03T09:00:00,85.4,G
1474,2024-01-03T10:00:00,81.4,G
1500,2024-01-03T11:00:00,76.2,G
1526,2024-01-03T12:00:00,70.8,G
1552,2024-01-03T13:00:00,67.6,G
1578,2024-01-03T14:00:00,65.2,G
1604,2024-01-03T15:00:00,62.5,G
1630,2024-01-03T16:00:00,61.2,G
1656,2024-01-03T17:00:00,59.8,G
1682,2024-01-03T18:00:00,59.8,G
1708,2024-01-03T19:00:00,59.5,G
1734,2024-01-03T20:00:00,62.4,G
1760,2024-01-03T21:00:00,64.9,G
1786,2024-01-03T22:00:00,65.8,G
1812,2024-01-03T23:00:00,67.7,G
1838,2024-01-04T00:00:00,69.0,G
1864,2024-01-04T01:00:00,68.2,G
1890,2024-01-04T02:00:00,67.8,G
1916,2024-01-04T03:00:00,69.2,G
1942,2024-01-04T04:00:00,70.9,G
1968,2024-01-04T05:00:00,72.0,G
1994,2024-01-04T06:00:00,73.5,G
2021,2024-01-04T07:00:00,75.1,G
2048,2024-01-04T08:00:00,76.7,G
2075,2024-01-04T09:00:00,76.6,G
2102,2024-01-04T10:00:00,74.6,G
2128,2024-01-04T11:00:00,73.2,G
2154,2024-01-04T12:00:00,72.0,G
