,obstime,Solar Radiation in W/m^2,qcscore
5,2023-01-01T00:00:00,0.0,G
25,2023-01-01T01:00:00,0.0,G
45,2023-01-01T02:00:00,0.0,G
65,2023-01-01T03:00:00,0.0,G
85,2023-01-01T04:00:00,0.0,G
105,2023-01-01T05:00:00,0.0,G
125,2023-01-01T06:00:00,0.0,G
145,2023-01-01T07:00:00,0.0,G
165,2023-01-01T08:00:00,20.5,G
185,2023-01-01T09:00:00,104.7,G
205,2023-01-01T10:00:00,220.2,G
225,2023-01-01T11:00:00,315.7,G
245,2023-01-01T12:00:00,280.9,G
265,2023-01-01T13:00:00,252.6,G
285,2023-01-01T14:00:00,330.7,G
305,2023-01-01T15:00:00,239.9,G
325,2023-01-01T16:00:00,162.1,G
345,2023-01-01T17:00:00,87.8,G
365,2023-01-01T18:00:00,14.9,G
384,2023-01-01T19:00:00,0.0,G
403,2023-01-01T20:00:00,0.0,G
422,2023-01-01T21:00:00,0.0,G
441,2023-01-01T22:00:00,0.0,G
460,2023-01-01T23:00:00,0.0,G
479,2023-01-02T00:00:00,0.0,G
498,2023-01-02T01:00:00,0.0,G
517,2023-01-02T02:00:00,0.0,G
536,2023-01-02T03:00:00,0.0,G
555,2023-01-02T04:00:00,0.0,G
574,2023-01-02T05:00:00,0.0,G
593,2023-01-02T06:00:00,0.0,G
612,2023-01-02T07:00:00,0.0,G
631,2023-01-02T08:00:00,28.6,G
650,2023-01-02T09:00:00,69.5,G
669,2023-01-02T10:00:00,320.9,G
688,2023-01-02T11:00:00,420.4,G
707,2023-01-02T12:00:00,356.1,G
726,2023-01-02T13:00:00,361.1,G
746,2023-01-02T14:00:00,416.1,G
766,2023-01-02T15:00:00,265.8,G
786,2023-01-02T16:00:00,183.8,G
806,2023-01-02T17:00:00,74.3,G
826,2023-01-02T18:00:00,13.9,G
846,2023-01-02T19:00:00,0.0,G
866,2023-01-02T20:00:00,0.0,G
886,2023-01-02T21:00:00,0.0,G
906,2023-01-02T22:00:00,0.0,G
924,2023-01-02T23:00:00,0.0,G
942,2023-01-03T00:00:00,0.0,G
960,2023-01-03T01:00:00,0.0,G
978,2023-01-03T02:00:00,0.0,G
996,2023-01-03T03:00:00,0.0,G
1014,2023-01-03T04:00:00,0.0,G
1032,2023-01-03T05:00:00,0.0,G
1050,2023-01-03T06:00:00,0.0,G
1068,2023-01-03T07:00:00,0.0,G
1086,2023-01-03T08:00:00,28.7,G
1104,2023-01-03T09:00:00,66.8,G
1122,2023-01-03T10:00:00,137.0,G
1140,2023-01-03T11:00:00,201.6,G
1158,2023-01-03T12:00:00,289.0,G
1176,2023-01-03T13:00:00,345.6,G
1195,2023-01-03T14:00:00,247.3,G
1214,2023-01-03T15:00:00,176.2,G
1233,2023-01-03T16:00:00,126.8,G
1252,2023-01-03T17:00:00,65.5,G
1271,2023-01-03T18:00:00,8.2,G
1290,2023-01-03T19:00:00,0.0,G
1309,2023-01-03T20:00:00,0.0,G
1328,2023-01-03T21:00:00,0.0,G
1347,2023-01-03T22:00:00,0.0,G
1366,2023-01-03T23:00:00,0.0,G
1385,2023-01-04T00:00:00,0.0,G
1404,2023-01-04T01:00:00,0.0,G
1423,2023-01-04T02:00:00,0.0,G
1442,2023-01-04T03:00:00,0.0,G
