,obstime,Wind Direction,qcscore
5,2023-01-01T00:00:00,9.8,G
23,2023-01-01T01:00:00,12.2,G
42,2023-01-01T02:00:00,11.1,G
61,2023-01-01T03:00:00,8.5,G
82,2023-01-01T04:00:00,12.6,G
102,2023-01-01T05:00:00,12.1,G
121,2023-01-01T06:00:00,10.1,G
140,2023-01-01T07:00:00,9.7,G
159,2023-01-01T08:00:00,13.3,G
179,2023-01-01T09:00:00,9.6,G
199,2023-01-01T10:00:00,7.5,G
219,2023-01-01T11:00:00,9.1,G
239,2023-01-01T12:00:00,6.0,G
259,2023-01-01T13:00:00,8.4,G
280,2023-01-01T14:00:00,14.2,G
300,2023-01-01T15:00:00,9.4,M
321,2023-01-01T16:00:00,8.6,M
342,2023-01-01T17:00:00,8.7,G
362,2023-01-01T18:00:00,10.8,G
381,2023-01-01T19:00:00,10.7,G
399,2023-01-01T20:00:00,15.0,G
417,2023-01-01T21:00:00,14.6,G
434,2023-01-01T22:00:00,9.4,G
452,2023-01-01T23:00:00,2.1,G
470,2023-01-02T00:00:00,1.8,G
487,2023-01-02T01:00:00,12.3,G
504,2023-01-02T02:00:00,0.0,G
522,2023-01-02T03:00:00,0.0,G
541,2023-01-02T04:00:00,0.8,M
559,2023-01-02T05:00:00,8.8,G
575,2023-01-02T06:00:00,11.2,G
593,2023-01-02T07:00:00,7.8,G
612,2023-01-02T08:00:00,10.6,G
630,2023-01-02T09:00:00,11.3,G
650,2023-01-02T10:00:00,9.1,G
670,2023-01-02T11:00:00,8.5,G
690,2023-01-02T12:00:00,9.0,G
710,2023-01-02T13:00:00,9.3,G
731,2023-01-02T14:00:00,15.0,G
752,2023-01-02T15:00:00,5.5,M
772,2023-01-02T16:00:00,6.8,M
793,2023-01-02T17:00:00,9.3,G
814,2023-01-02T18:00:00,9.9,G
833,2023-01-02T19:00:00,8.3,G
852,2023-01-02T20:00:00,7.5,G
872,2023-01-02T21:00:00,10.2,G
890,2023-01-02T22:00:00,11.4,G
907,2023-01-02T23:00:00,14.4,G
925,2023-01-03T00:00:00,11.7,G
943,2023-01-03T01:00:00,9.4,G
962,2023-01-03T02:00:00,14.1,G
980,2023-01-03T03:00:00,10.5,G
998,2023-01-03T04:00:00,8.6,G
1017,2023-01-03T05:00:00,11.2,G
1036,2023-01-03T06:00:00,9.3,G
1055,2023-01-03T07:00:00,12.1,G
1074,2023-01-03T08:00:00,9.6,G
1093,2023-01-03T09:00:00,8.8,G
1112,2023-01-03T10:00:00,5.7,G
1131,2023-01-03T11:00:00,8.9,G
1150,2023-01-03T12:00:00,5.4,G
1169,2023-01-03T13:00:00,3.7,G
1189,2023-01-03T14:00:00,8.7,G
1208,2023-01-03T15:00:00,6.8,G
